,place,movie_title,rating,year,star_cast
69,70,Oldeuboi,8.320208166517356,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
70,71,Inglourious Basterds,8.318094037317765,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
71,72,Amadeus,8.316442734954125,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
72,73,Coco,8.315185161562676,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
73,74,Toy Story,8.313931255316442,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
74,75,Joker,8.312976126355506,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
75,76,Braveheart,8.312658551549864,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
76,77,Das Boot,8.31198051960307,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
77,78,Avengers: Endgame,8.30388585627871,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
78,79,Mononoke-hime,8.303162438772711,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
79,80,Once Upon a Time in America,8.294804598913,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
80,81,Good Will Hunting,8.292629223179333,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
81,82,Kimi no na wa,8.28256942767656,2016,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi"
82,83,Singin' in the Rain,8.27514115949193,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
83,84,3 Idiots,8.275107597704833,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
84,85,Requiem for a Dream,8.273799558791906,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
85,86,Tengoku to jigoku,8.2719336469793,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
86,87,Toy Story 3,8.271040270591435,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
